Community Feature ID,Community,AEA Energy Region
1403596,Hughes,Yukon-Koyukuk/Upper Tanana
1403706,Igiugig,Bristol Bay
1403763,Iliamna,Bristol Bay
1406978,Newhalen,Bristol Bay
1407129,Nondalton,Northwest Arctic
1420113,Angoon,Southeast
1421022,Chilkat Valley,Southeast
1403488,Hoonah,Southeast
1422926,Kake,Southeast
1866956,Klukwan,Southeast
1412894,Deering,Northwest Arctic
1423039,Ketchikan,Southeast
1423039,Ketchikan,Southeast
1423039,Ketchikan,Southeast
1423039,Ketchikan,Southeast
1423039,Ketchikan,Southeast
1418792,King Cove,Aleutians
1404781,Kipnuk,Lower Yukon-Kuskokwim
1413362,Kobuk,Northwest Arctic
1404875,Kodiak,Kodiak
1404875,Kodiak,Kodiak
1404875,Kodiak,Kodiak
1404875,Kodiak,Kodiak
1404875,Kodiak,Kodiak
1865555,Kokhanok,Bristol Bay
1413378,Kotzebue,Northwest Arctic
1404984,Koyukuk,Yukon-Koyukuk/Upper Tanana
1405119,Kwethluk,Lower Yukon-Kuskokwim
1405122,Kwigillingok,Lower Yukon-Kuskokwim
1405216,Larsen Bay,Kodiak
1405300,Levelock,Bristol Bay
1405351,Lime Village,Lower Yukon-Kuskokwim
1405927,Manokotak,Bristol Bay
1407737,Palmer,Railbelt
1406131,McGrath,Yukon-Koyukuk/Upper Tanana
1423661,Metlakatla,Southeast
1423661,Metlakatla,Southeast
1423661,Metlakatla,Southeast
1400376,Chuathbaluk,Lower Yukon-Kuskokwim
1400824,Crooked Creek,Lower Yukon-Kuskokwim
1408580,Red Devil,Lower Yukon-Kuskokwim
1409747,Sleetmute,Lower Yukon-Kuskokwim
1410241,Stony River,Lower Yukon-Kuskokwim
1405185,Lake Minchumina,Yukon-Koyukuk/Upper Tanana
1404738,King Salmon,Bristol Bay
1406798,Naknek,Bristol Bay
1409961,South Naknek,Bristol Bay
1406829,Napakiak,Lower Yukon-Kuskokwim
1406834,Napaskiak,Lower Yukon-Kuskokwim
1400188,Chefornak,Lower Yukon-Kuskokwim
1407902,Perryville,Bristol Bay
1418948,Nelson Lagoon,Aleutians
1404914,Koliganek,Bristol Bay
1407022,Nikolai,Yukon-Koyukuk/Upper Tanana
1407125,Nome,Bering Straits
1398235,Anaktuvuk Pass,North Slope
1406178,Atqasuk,North Slope
1404349,Kaktovik,North Slope
1416680,Nuiqsut,North Slope
1408110,Point Hope,North Slope
1408115,Point Lay,North Slope
1411728,Wainwright,North Slope
1409405,Nunam Iqua,Lower Yukon-Kuskokwim
1398091,Aleknagik,Bristol Bay
1401203,Dillingham,Bristol Bay
1407684,Ouzinkie,Kodiak
1407862,Pedro Bay,Bristol Bay
1424201,Pelican,Southeast
1424228,Petersburg,Southeast
1407992,Pilot Point,Bristol Bay
1408072,Platinum,Lower Yukon-Kuskokwim
1419072,Port Heiden,Bristol Bay
1404934,Kongiganak,Lower Yukon-Kuskokwim
1408519,Rampart,Yukon-Koyukuk/Upper Tanana
1408878,Ruby,Yukon-Koyukuk/Upper Tanana
1419161,Saint George,Aleutians
1414598,Seward,Railbelt
1414736,Sitka,Southeast
1414736,Sitka,Southeast
1414736,Sitka,Southeast
1423039,Ketchikan,Southeast
1422400,Haines,Southeast
1419163,Saint Paul,Aleutians
1410198,Stevens Village,Yukon-Koyukuk/Upper Tanana
1410562,Takotna,Yukon-Koyukuk/Upper Tanana
1408208,Port Alsworth,Bristol Bay
1410629,Tanana,Yukon-Koyukuk/Upper Tanana
1415193,Tatitlek,Copper River/Chugach
1418109,Adak,Aleutians
1419182,Sand Point,Aleutians
1405922,Manley Hot Springs,Yukon-Koyukuk/Upper Tanana
1866941,Deadhorse,Northwest Arctic
1415210,Tenakee Springs,Southeast
1411295,Tuluksak,Lower Yukon-Kuskokwim
1411324,Tuntutuliak,Lower Yukon-Kuskokwim
1416737,Twin Hills,Bristol Bay
1418954,Nikolski,Aleutians
1411517,Unalakleet,Bering Straits
1419726,Dutch Harbor,Aleutians
1419424,Unalaska,Aleutians
1406985,Newtok,Lower Yukon-Kuskokwim
1411644,Venetie,Yukon-Koyukuk/Upper Tanana
1411989,White Mountain,Bering Straits
1415843,Wrangell,Southeast
1415858,Yakutat,Southeast
1424323,Point Baker,Southeast
1866970,Port Protection,Southeast
1410727,Telida,Yukon-Koyukuk/Upper Tanana
